"empresa"	"titulo_reclamacao"	"status_reclamacao"	"local_reclamacao"	"tempo_reclamacao"
"Carrefour -  Loja Online "	"Entrega com atraso "	"Não respondida"	" Jundiaí "	"Há 10 dias"
"Carrefour -  Loja Online "	"Compra de celular - Sem estoque + burocracia para gerar o vale troca"	"Respondida"	" São Paulo "	"Há 10 dias"
"Carrefour -  Loja Online "	"Demora para retirada do produto com defeito e sem previsão para devolução de dinheiro ou troca do produto"	"Não respondida"	" Osasco "	"Há 10 dias"
"Carrefour -  Loja Online "	"TROCA DA MERCADORIA ENTREGUE COM AVARIAS"	"Respondida"	" São Paulo "	"Há 10 dias"
"Carrefour -  Loja Online "	"Cobrança do valor integral do frete em todas as parcelas"	"Não respondida"	" São José dos Campos "	"Há 10 dias"
"Carrefour -  Loja Online "	"Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores"	"Resolvido"	" Belo Horizonte "	"Há 10 dias"
"Carrefour -  Loja Online "	"Estou sem cashback por culpa do Carrefour"	"Não respondida"	" Brasília "	"Há 10 dias"
"Carrefour -  Loja Online "	"Garantia Estendida"	"Respondida"	" Nova Iguaçu "	"Há 10 dias"
"Carrefour -  Loja Online "	"Estorno não realizado.  Cancelamento do pedido 500565374"	"Não respondida"	" São Paulo "	"Há 10 dias"
"Carrefour -  Loja Online "	"Liguei para Flávia no sac do Carrefour ela desligou na minha cara"	"Respondida"	" Santo André "	"Há 10 dias"
"Carrefour -  Loja Online "	"Descaso com o cliente"	"Não respondida"	" Curitiba "	"Há 10 dias"
"Carrefour -  Loja Online "	"Quero o celular que eu comprei "	"Respondida"	" São Paulo "	"Há 10 dias"
"Carrefour -  Loja Online "	"Produto não foi entregue"	"Em réplica"	" Rio de Janeiro "	"Há 10 dias"
"Carrefour -  Loja Online "	"Recusa em estornar o valor de produto devolvido"	"Em réplica"	" Betim "	"Há 10 dias"
"Carrefour -  Loja Online "	"Devolução de produto com defeito"	"Não respondida"	" Campo Grande "	"Há 10 dias"
"Carrefour -  Loja Online "	"Filtro de de Àgua."	"Respondida"	" Santana de Parnaíba "	"Há 10 dias"
"Carrefour -  Loja Online "	"Reembolso de Moedas"	"Não respondida"	" São Paulo "	"Há 10 dias"
"Carrefour -  Loja Online "	"COMPRA PARADA"	"Respondida"	" São Paulo "	"Há 10 dias"
