"empresa"	"titulo_reclamacao"	"status_reclamacao"	"local_reclamacao"	"tempo_reclamacao"	"minutos"
"Carrefour -  Loja Online"	"Produto não entregue e sem devolução do valor pago"	"Não Resolvido"	"Sapucaia do Sul"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"O Carrefour não estorna o valor de uma compra cancelada"	"Não Resolvido"	"Camaragibe"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não recebimento do produto. Não reembolso"	"Não Resolvido"	"Sumaré"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Propaganda enganosa, oferta de produtos que não possuem estoque e não entrega de compra feita pela internet."	"Resolvido"	"Suzano"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Atraso na entrega e demora na resposta"	"Não Resolvido"	"Guarulhos"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"20 dias de atraso"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Prazo de entrega já passou e produto não chegou."	"Resolvido"	"São Gonçalo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"PRODUTO NÃO FOI E ENTREGUE E NÃO FOI REEMBOLSADO"	"Resolvido"	"Concórdia"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Esteira elétrica faltando o painel de controle"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Atraso na entrega e não deram satisfação"	"Resolvido"	"Salvador"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Troca de produto que não acontece e só devolvem o dinheiro depois de dois meses"	"Não Resolvido"	"Goiânia"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Atraso na entrega"	"Não Resolvido"	"Itapecerica da Serra"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Aguardando retorno"	"Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não cumprimento de prazo para entrega do pedido"	"Resolvido"	"Natal"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não recebi o produto e dizem estar entregue."	"Resolvido"	"Arealva"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Burocracia na troca da minha Tv"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Sim"	"Resolvido"	"São Bento do Una"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Carrefour nao devolve meu dinheiro e nao entregou o produto"	"Resolvido"	"Osasco"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não recebi mercadoria comprada no site"	"Resolvido"	"São José do Rio Preto"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Retenção de valores / Não devolução do valor pago"	"Não Resolvido"	"Taboão da Serra"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Propaganda enganosa, compra não entregue"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"ressarcimento do valor"	"Resolvido"	"São Roque"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"COMPREI UM PRODUTO E NAO RECEBI"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Comprovante de cancelamento"	"Resolvido"	"Dom Eliseu"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Carrefour"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Ar Condicionado LG Inverter 9000 BTU"	"Resolvido"	"São João de Meriti"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Anúncio furado"	"Não Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Estorno"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Ar condicionado comprado pelo site do Carrefour e nao entregue"	"Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"SAC não retorna"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Efetuei devolução de produto e não obtive retorno"	"Resolvido"	"Belo Horizonte"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Troca de produto"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Propaganda enganosa"	"Não Resolvido"	"Balneário Camboriú"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"PROPAGANDA ENGANOSA do Carrefour: no site aparece a oferta do Ar Condicionado Split LG Dual Inverter Voice 12000 Btus Frio 220V Marca:LG- Cód: 65905 Vendido e entregue por Carrefour - Flores por R$1.250,00 ou 10x de R$125,00 sem juros."	"Não Resolvido"	"Vitória"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Anúncio Fake"	"Não Resolvido"	"Goioerê"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Devolução de Produto Comprado pela Internet"	"Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Ainda não recebi a mercadoria / prazo vencido"	"Resolvido"	"Joinville"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto não foi entregue - não foi feito reembolso"	"Resolvido"	"Brasília"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Suposta propaganda enganosa"	"Não Resolvido"	"Boa Vista"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não recebi o produto. E não tive devolução do dinheiro"	"Resolvido"	"Araçoiaba da Serra"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Atraso na entrega de produto"	"Resolvido"	"Londrina"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"FRETE DA PROPAGANDA DIFERENTE DO FRETE NA FINALIZAÇÃO DA COMPRA"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Entrega Não Realizada e consta como entregue"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto diferente da compra"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"STATUS DO PEDIDO NÃO ALTERA, NÃO SEI SE DEU CERTOU OU NÃO"	"Resolvido"	"Guarapuava"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Carrefour não cumpre e não faz a entrega de pedido feito na loja online"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"A LOJA DISPONIBILIZA DESCONTOS MAS NÃO DEIXA O CLIENTE FINALIZAR A COMPRA."	"Não Resolvido"	"Goiânia"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Mercadoria não entregue"	"Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"o carrefour não devolve o valor da compra  mesmo devolvendo o produto dentro do prazo legal de 7 dias"	"Resolvido"	"Curitiba"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"A empresa não se posiciona sobre o estorno"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"COMPREI E NÃO ENTREGARAM"	"Resolvido"	"Franco da Rocha"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto não entregue"	"Não Resolvido"	"Jaboatão dos Guararapes"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não reembolsam o produto que não tem estoque"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto não entregue"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto não entregue e falta de informações no site"	"Resolvido"	"Araranguá"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"SUPORTE RUIM PARASOLUÇÃO DO PROBLEMA DA TV"	"Não Resolvido"	"Bacabal"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Demora na liberação de código de troca"	"Resolvido"	"São José do Rio Preto"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Meu notebook apresentou defeito em 5 dias"	"Resolvido"	"Guarulhos"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Compra online não foi entregue e sem retorno algum da empresa"	"Resolvido"	"Santa Maria"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Devoluvao"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Cartão de crédito"	"Resolvido"	"Itaquaquecetuba"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Reclamação, solicitações nunca resolvidas."	"Resolvido"	"São Caetano do Sul"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Cancelamento sem devolução do dinheiro"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Empresa não dá retorno ao pedido de devolução de produto."	"Resolvido"	"Belo Horizonte"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não vou pagar pelo que não recebi"	"Resolvido"	"Natal"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"ENTREGA ATRASADA"	"Resolvido"	"Guarulhos"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto não foi entregue."	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Carrefour não paga repasse a lojista de marketplace e não responde em nenhum dos canais de atendimento"	"Resolvido"	"Marília"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Aumento do valor do produto durante a compra"	"Não Resolvido"	"Feira de Santana"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não envia o produto e nem devolve o valor"	"Resolvido"	"Contagem"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Quero reembolso do frete expresso"	"Não Resolvido"	"Taubaté"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Compra cancelada, produto recebido e reembolso não efetuado."	"Resolvido"	"Goiânia"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Desrespeito ao consumidor"	"Resolvido"	"Mogi das Cruzes"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"CARREFOUR NAO TOMA ATITUDE NO MARKETPLACE"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Atraso e Descaso"	"Não Resolvido"	"Curitiba"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"ESTORNO DOS VALORES"	"Resolvido"	"Belo Horizonte"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Nao devolve o dinheiro"	"Resolvido"	"Santo André"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Compra cancelada e sem estorno a mais de 2 meses"	"Resolvido"	"Natal"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"devolução de produto errado"	"Não Resolvido"	"Ipatinga"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"não recebi meu estorno"	"Resolvido"	"Campinas"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"falta de entrega, avaria segundo a friopeçasPedido em 19/12/20 com entrega para 01/01/21 we ate o momento nada, descaso."	"Resolvido"	"Aracruz"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"carrefour novamente nao resolve seu problema de entrega dos produtos"	"Não Resolvido"	"Teófilo Otoni"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Compra pelo site"	"Resolvido"	"Desterro de Entre Rios"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Devolução sempre vence o status"	"Resolvido"	"Porto Alegre"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Carrefour [editado_RA]"	"Resolvido"	"Campinas"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Falta de respeito!"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Comprei un celular no site do carrefour"	"Resolvido"	"Pedreiras"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Até agora nada"	"Não Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"SETOR DE DEVOLUÇÃO NÃO RETORNA"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Descaso do Carrefuor"	"Não Resolvido"	"Santa Maria"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não cumpre prazo de entrega agendada"	"Resolvido"	"Itapevi"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Não devolvem meu dinheiro"	"Não Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Dificuldade de cancelar compra online feita há  4 h atrás."	"Resolvido"	"Belo Horizonte"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto com avaria"	"Resolvido"	"Goiânia"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Falso anuncio de promoção"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Devolução ainda sem solução"	"Não Resolvido"	"Palmas"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Compra de produto à vista no site Carrefour: Produto não foi entregue e o dinheiro não foi devolvido!"	"Resolvido"	"São Bernardo do Campo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Pontos Livelo não creditados"	"Não Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"TROCA DE TV"	"Não Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Produto Faltando Peça para Montagem"	"Não Resolvido"	"Limeira"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"ESTORNO"	"Não Resolvido"	"Nova Lima"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Estorno do valor pago não foi realizado"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Até a presente data o carrefour não devolveu meu dinheiro."	"Não Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Mais de 15 dias de atraso e ninguém resolve"	"Não Resolvido"	"Birigui"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Venda de item sem estoque"	"Resolvido"	"Brasília"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Carrefour [editado_RA]"	"Resolvido"	"São Paulo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Troca - Falta de peça no produto"	"Resolvido"	"São Bernardo do Campo"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"NÃO ENTREGA DO PRODUTO"	"Resolvido"	"Natal"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"3 meses fiz Cancelamento e não estornam"	"Resolvido"	"Belo Horizonte"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"estorno"	"Resolvido"	"Ribeirão das Neves"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"CARREFOUR - LOJA ONLINE"	"Não Resolvido"	"Rio de Janeiro"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Estorno pendente desde Outubro"	"Resolvido"	"Guarujá"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"ESTORNO NÃO EFETUADO"	"Resolvido"	"Guarulhos"	"Há 2 meses"	86400
"Carrefour -  Loja Online"	"Nunca compre no CARRREFOUR"	"Resolvido"	"Campinas"	"Há 2 meses"	86400
